Проэкт,Категории,Цена,Заявки
Верстка и посадка на Orchid CMS (Laravel),[],2 заявки,Сроки
Cоставить контент-план для сайта велосипедной тематики на 50 статей,[],нет заявок,нет
Добавить доп приставку в урл opencart,[],2 заявки,Суть.
Настроить PMTA,[],2 заявки,У
Калькулятор 3Д забора,[],2 заявки,Пропал
Экспертная статья на бизнес тематику,[],4 заявки,Необходимо
Съёмка с дрона (квадро/октокоптер),[],1 заявка,Задача:
ТЗ по созданию отчета по данным из разных сущностей в облаке,[],нет заявок,нет
Сайт лотерей для онлайн-игры,[],нет заявок,нет
Сделать сеть в Virtual Box,[],5 заявок,необходимо
Вёрстка и интеграция дизайна для CMS,[],6 заявок,Приветствую.
СРОЧНО: Наполнение развлекательного сайта статьями,[],6 заявок,Добавить
Дизайн проект интерьера офиса 130 м2 в современном стиле,[],7 заявок,Требуется
Тестирование нагрузки на сервер,[],нет заявок,нет
Дизайн лэндинга по мансардным окнам,[],10 заявок,Требуется
Установить postfix для php (CentOS 6.5),[],6 заявок,Собственно
Дизайн проект интерьера квартиры 40 м2 в современном стиле,[],9 заявок,Требуется
Импорт продуктов в Magento 1.9,[],нет заявок,нет
Написание статей на медицинские темы,[],13 заявок,Требуется
Баннеры для РСЯ,[],11 заявок,Нужно
Онлайн рисование фигур из линий,[],1 заявка,Нужен
Программист Symphony или YII2 или Laravel,[],10 заявок,Приветствую
Создать веб дизайн лендинга для интернет студии.,[],28 заявок,Создать
Модуль кредитного калькулятора с полузунками для Joomla 3,[],3 заявки,Требуется
Разработка сайта по услугам,[],20 заявок,Необходимо
Надо натянуть psd на wordpress согласно блокам и модулям,[],4 заявки,Надо
Создание торговой площадки на Bitrix,[],3 заявки,Уважаемые
Расчет ветровой нагрузки на конструкцию (трубная маталлоконструкция),[],1 заявка,Необходимо
Создание CRM локального сайта,[],4 заявки,Требуется
Открытка ко дню нефтяника.,[],14 заявок,Необходимо
Написать описания отелей,[],42 заявки,Ищу
Дизайн для сайта хостинг-провайдера,[],13 заявок,Требуется
Сделать адаптивную верстку для сайта,[],5 заявок,Сайт
Реклама ютюб,[],4 заявки,Добрый
Скрипт для Arma3,[],нет заявок,нет
Увеличить скорость загрузки сайта на Contao,[],2 заявки,Есть
Ускорение работы сайта на opencart,[],6 заявок,Есть
Настроить MyTarget для проекта в строительной тематике,[],1 заявка,Нужно
Google Adwords KMC Ретаргетинг,[],3 заявки,Подобрать
Корректировка текстов на сайте (CMS Wordpress),[],8 заявок,Нужно
Доработка обработки 1С,[],4 заявки,обработка
Фирменный стиль для фитнесс медиа для последующей анимации,[],8 заявок,Фирменный
Редизайн и доработка сайта по макетам (верстка+программирование).,[],4 заявки,Нужно
Верстка и разработка корпоративного сайта на Wordpress,[],1 заявка,Добрый
15 статей на немецком от носителя,[],4 заявки,15
Оформить страницу под стиль сайта,[],13 заявок,Необходимо
Наполнение сайта,[],14 заявок,Категория
Сделать 2 рекламных анимированных gif-баннера,[],11 заявок,Задача:
Специалист по MODx для доработки сайта,[],5 заявок,Есть
Верстка и натяжка на Joomla,[],7 заявок,Добрый
Создание логотипа,[],18 заявок,Требуется
"Копирайтинг, тема - социальная защита/поддержка.",[],5 заявок,Требуется
Wordpress. Интеграция нового дизайна.,[],16 заявок,На
Программа скачивания котировок с сайта криптовалютных бирж,[],4 заявки,Нужна
Контент-менеджер,[],17 заявок,Статьи
Сделать 10 завлекающих текстов под мою аудиторию,[],4 заявки,Доброго
Разработка сайта на Битриксе,[],7 заявок,Требуется
Правки по OpenCart,[],7 заявок,Нужен
Требуется создание двух баннеров,[],9 заявок,Ищем
Написать текст для песни,[],10 заявок,Нужен
Написать статью строительной тематики,[],4 заявки,Необходимо
Рекламная акция для рассылки по эл. почте,[],6 заявок,Требуется
Сайт грузовой частной компании,[],23 заявки,сайт
Дизайн пакетов для ДЕТСКИХ НОВОГОДНИХ ПОДАРКОВ по образцу,[],6 заявок,Нужно
Помощь в проработке дизайна сайта,[],13 заявок,Готовится
Нужна аудиозапись-приветствие на английском языке.,[],9 заявок,Нам
"Сделать ""клон"" сайта + продвижение",[],18 заявок,1)
Доработки по сайту Битрикс,[],6 заявок,1.
Разработка веб-сайта по ТЗ (wordpress),[],3 заявки,Требуется
Ищем специалиста по Prestashop для интеграции платежного модуля,[],2 заявки,Ищем
Парсер данных,[],4 заявки,Нужен
Разработка логотипа,[],16 заявок,Добрый
Исправить шаблон Joomla 3,[],1 заявка,Нужно
Парсер данных из вебсокета в авторизированной зоне.,[],3 заявки,Нужно
Сделать Landing Page на Tilda.ws,[],1 заявка,1.
Нарисовать логотип,[],19 заявок,Нужно
Кто работал с Revolution Slider.,[],нет заявок,нет
Перевод с русского на казахский,[],4 заявки,Задача:
"Программист со знанием Yii, js и svg-графика",[],3 заявки,Ищю
Нужен специалист по BrightScript,[],нет заявок,нет
Yii Framework - ряд изменения в коде,[],4 заявки,Необходимо
Требуется установить разметку schema для CMS Simpla,[],3 заявки,Добрый
Грамотно настроить рекламу в ВК ФБ и Инста,[],4 заявки,Необходимо
Рерайт статей о городах,[],13 заявок,Добрый
Поставить верстку на joomla,[],6 заявок,Здравствуйте.
Написать шаблон под ZennoPoster,[],нет заявок,нет
Вёрстка landing Page | 2 версии | преленд,[],14 заявок,Вёрстка
Настройка Google Adwords,[],27 заявок,Необходима
Выгрузка товаров в FaceBook по XML через ocStore 2.1.0.2.1,[],3 заявки,Добрый
Разработка логотипа,[],11 заявок,Разработать
Доработать торговые предложения Битрикс,[],3 заявки,Нужно
Работа над сайтом на CMS Wordpress,[],4 заявки,Необходимо
"Сайт на wordpress. SEO, Direct..",[],4 заявки,Сайт
Верстка адаптивная + интеграция в 1С-Битрикс,[],нет заявок,нет
Сделать сайт на WP + разработать функционал онлайн бронирования,[],9 заявок,Необходимо
Мелкие правки верстки WP,[],4 заявки,Есть
Контекстная реклама,[],9 заявок,Добрый
Исправить ошибку на PHP,[],10 заявок,Ищем
Настроить расширенный сниппет в гугл,[],1 заявка,Настроить
Внутренняя оптимизация Сео,[],13 заявок,Нужно
Доработка скрипта + доработка плагина WP,[],4 заявки,Добрый
Написать описание к фильмам,[],24 заявки,Есть
Тематические обзоры составов полимерных промышленных полов,[],8 заявок,Компания
Перевод украинский чешский,[],2 заявки,Добрий
Wordpress (woocommerce) плагин доставки доделать один нюанс,[],1 заявка,Плагин
Доработка личного кабинета (корзины товаров) на 1С-Битрикс,[],1 заявка,Проект
Нужно настроить сбор e-mail контактов на сайте,[],1 заявка,Задача
Верстка ИМ,[],1 заявка,Добрый
Написание отзывов,[],14 заявок,Необходимо
Натяжка верстки и разработка функционала на Drupal,[],5 заявок,Необходимо:
Установить на мак фотошоп,[],9 заявок,Собственно
Настройка личного кабинета для инфопродуктов,[],2 заявки,Есть
Игра на Unity 3D для IOS и Android,[],2 заявки,Необходимо
Макет,[],5 заявок,Здравствуйте
Корректура текстов,[],12 заявок,Необходимо
Мелкие доработки wordpess,[],8 заявок,Добрый
Разработка модуля для админки в Magento 1,[],1 заявка,Проект
Добавление новых товаров,[],16 заявок,Для
Дизайн купона в магазин нижнего белья (лаконичный),[],9 заявок,Мы
VPN приложение под Android,[],2 заявки,Необходимо
Оптимизация сайта под мобильные устройства,[],7 заявок,Здравствуйте!
Необходимо внедрить ТЗ для сайта на вордпресс,[],3 заявки,Необходимо
Перенести сайт на движок Wordpress,[],7 заявок,Сайт
Внести коррективы по т/з в интернет магазин на WordPress,[],7 заявок,Внести
Верстка сайта HTML + CSS3 + Java,[],14 заявок,Все
Придумать название для торговой марки воды в бутылях для кулеров,[],13 заявок,Необходимо
Лэндинг под ключ по прототипу,[],9 заявок,Добрый
Исправить вёрстку на  MODX,[],3 заявки,Необходимо
Написание постов для соцсетей до 1000 символов,[],7 заявок,Требуется
"""Оживить"" нарисованного персонажа - разыскивается мультипликатор!",[],11 заявок,Имеется
Придумать смешную цитату (мем),[],10 заявок,Придумать
Нужны отзывы на Яндекс Маркете.,[],159 заявок,Нужны
Дизайн значков,[],17 заявок,Необходимо
SMM-специалист на продвижение выставки экопродукции ЭкоГородЭкспо,[],2 заявки,Ищем
Создать 3d-локацию с моделью человека на Unity3D,[],4 заявки,Есть
Нарисовать логотип для клуба виртуальной реальности ViReality,[],6 заявок,Необходимо
Скрипт контроля доступа к сайту,[],2 заявки,Интересует
Корректировки сайта на Joomla,[],7 заявок,Здравствуйте!
Верстка сайта на Joomla,[],1 заявка,имеется
Необходимо нарисовать несколько десятков чертежей в Compas или Autocad,[],24 заявки,Здравствуйте!
"Статьи по теме ""Туризм""",[],23 заявки,Нужно
SEO специалист для продвижения сайта (аксессуары для гаджетов),[],9 заявок,Друзья!
Нужны отзывы на Google картах.,[],41 заявка,Нужны
Интернет-магазин,[],15 заявок,"Здравствуйте,"
Продвижение сайта юридической фирмы,[],17 заявок,Здравствуйте!
Создание одностраничного сайта для продаж,[],13 заявок,Необходимо
Мелкие правки в шаблон Битрикса - добавить пункт в меню,[],2 заявки,Здравствуйте!
Необходимо переделать логотип,[],12 заявок,Имеется
График с помощью библиотеки d3.js,[],1 заявка,Построить
Приложение и платформа Uber,[],2 заявки,Необходимо
Тестирование адаптивной mobile версии сайта,[],14 заявок,Нужно
Доделки в магазине под Битрикс,[],4 заявки,Есть
Сверстать и натянуть,[],16 заявок,Требуется
Создание Landing странички,[],9 заявок,Уважаемые
Верстка и подготовка к печати,[],8 заявок,Нужно
"Требуется монтажер на ютуб канал, видео 5-10 минут.",[],14 заявок,Требуется
Рерайт статей и новостей по Юр.теме,[],2 заявки,Здравствуйте!
Создать сервис для ссылок в Instagram,[],2 заявки,Создать
"Доработать модуль для вукомерц, для иморта в яндекс маркет",[],2 заявки,Необходимо
Продвижение группы FB,[],7 заявок,Требуется
"Сортировка, рассылка, интеграция Директ/Задарма/Почта",[],нет заявок,нет
Программа в помощь врачу,[],12 заявок,Требуется
Заполнение шаблонного сайта,[],3 заявки,http://livedemo00.template-help.com/drupal_53895/
Дизайн сайта,[],47 заявок,Нужен
"Дизайн интерьера коттеджа, реалистичная визуализация",[],19 заявок,Требуется
Настройка модуля E-Commerce в Google Analytics,[],1 заявка,Добрый
Доработать логотип,[],15 заявок,"Здравствуйте,"
Парсер контента для инстаграм,[],3 заявки,Парсер
Ресайз баннеров,[],23 заявки,Нужно
Доработать плагин для WooCommerce,[],8 заявок,Нужно
Сверстать все внутренние страницы - ДУмРТ,[],4 заявки,Добрый
Художественная ретуш фото,[],20 заявок,Здравствуйте
Требуется написание ТЗ,[],1 заявка,Есть
Нужен специалист по Wordpress (Почасовая оплата),[],3 заявки,Для
Теговые страницы на Битрикс.,[],2 заявки,http://kubimetr.ru/
Наполнить базу данных по ЧМ2018 в League Manager,[],3 заявки,На
"Дизайн группы ВКОНТАКТЕ, продвижение группы от 1000 подписчиков",[],19 заявок,Необходимо
Вывести почту из под фильтра спам,[],6 заявок,Добрый
Нужен чат-бот,[],5 заявок,Функции
Добавление категорий в Virtuemart 2,[],2 заявки,Сайт
Логотип,[],9 заявок,Добрый
Пруфридинг статей на английском языке,[],1 заявка,Срочно
Доработка сайта на wordpress,[],4 заявки,Необходим
Исправить ошибки по validator.w3.org,[],11 заявок,Приветствую!
Создать виджет в AmoCRM (на JavaScript),[],2 заявки,ЧТО
Написать статью для сайта,[],7 заявок,Здравствуйте
Нужен программист на kohana – добавить функцию интернет магазина,[],нет заявок,нет
1-ый этап iOS приложения на React Native (front-end part),[],нет заявок,нет
Статья по грязезащите 08-2017,[],1 заявка,Для
Автоматизировать процесс сбора списка сайтов,[],6 заявок,Есть
Сделать верстку для вордпресс,[],9 заявок,есть
Статья на юридическую тематику,[],3 заявки,Нужна
Шаблон для Зеннопостер. Ютуб.,[],1 заявка,Приветствую.
Доработка сайта,[],2 заявки,Техническое
Промо ролик компании (анимация),[],9 заявок,Нужно
Скопировать сайт,[],нет заявок,нет
3d иллюстрации для сайта,[],23 заявки,Для
Натяжка шаблонов на DLE 10.1,[],2 заявки,Необходимо
Копирайт/рерайт статьи на английском языке,[],3 заявки,Есть
Разработка обработчика прайс-листов,[],3 заявки,Необходимо
Доделать верстку сайта,[],6 заявок,Добрый
Контекстная реклама для получения лидов,[],7 заявок,Рассмотрим
Нужно создать карту,[],3 заявки,Нужно
Нужен профессиональный маркетолог для написания продающего текста,[],6 заявок,Нужен
Решить математически статистическую задачу,[],нет заявок,нет
Копирайт по юридической тематике.,[],нет заявок,нет
Копирайт по юридической тематике.,[],нет заявок,нет
Слоган,[],12 заявок,Приветствую
Компьютерная графика для кинофильма,[],2 заявки,Творческому
Улучшить поисковые позиции в яндексе,[],6 заявок,Есть
Парсинг данных ЖНВЛП,[],6 заявок,Добрый
Верстка и натяжка 3-х страниц на Open Cart,[],4 заявки,"Здравствуй,"
Субтитрирование в Storyline,[],1 заявка,Требуется
Картинка или фотография,[],8 заявок,"Здравствуйте,"
Парсер картинок с Google и Yandex,[],2 заявки,Нужно
Написать функцию WC wordpress,[],2 заявки,Нужно
Добавление функций сайта на опенкарт.,[],1 заявка,Сайт
Перевод игрового ролика на английский язык,[],7 заявок,Перевод
Заказ на медовую продукцию,[],7 заявок,Добрый
Авторы для описания клиник. 50р за 1000збп.,[],9 заявок,Здравствуйте!
C# и Flash разработчик на разовый проект,[],4 заявки,Ищу
Доработки магазина под SEO на движке Shop-Script версии 3,[],нет заявок,нет
Ландшафтный дизайн участка,[],14 заявок,Добрый
Сделать сайт на MODX,[],5 заявок,Пример
Сверстать шапку страницы и натянуть на Bitrix,[],4 заявки,CMS:
Наполнить развлекательный сайт,[],10 заявок,Нужно
Настроить AdMob,[],4 заявки,Нужно
Ищем программиста,[],15 заявок,Нужен
INSTANT VIEW Telegrm html верстка,[],нет заявок,нет
Определение городов на сайте,[],1 заявка,Сайт
Верстка одного одностраничника,[],9 заявок,Нужен
Верстка небольшого макета,[],31 заявка,ТЗ
Установить анонимайзер,[],3 заявки,"Здравствуйте,"
Сделать рерайт 84 публикаций,[],4 заявки,Для
Подобрать список фраз для рекламной кампании сайта,[],3 заявки,Нужно
Добавить блоки с новостями на ModX,[],2 заявки,Необходимо
SEO-аудит сайта,[],13 заявок,Нужно
Создание интернет-магазина на базе уже существующего,[],6 заявок,Ищу
Доработать скрипт.,[],5 заявок,Нужно
Дизайн для сайта,[],36 заявок,Создать
Написание вирусных статей,[],55 заявок,Разыскиваются
Нужен дизайн или создать под ключь  pdf презентацию,[],12 заявок,Здравствуйте
Оформить презентацию Power Point по предоставленному шаблону,[],12 заявок,Шаблон
Парсинг,[],9 заявок,Есть
Фотографии объектов,[],1 заявка,Добрый
Нужен помощник контент-менеджера на 3 часа в день,[],30 заявок,Привет!
Тексты на английском(Рерайт),[],3 заявки,Здравствуйте!
Нужен качественный интернет магазин на строительную тематику,[],10 заявок,Нужен
Написать фронт для API на RoR,[],нет заявок,нет
Описание истории компании,[],5 заявок,Необходимо
Создать кроссворд по примеру,[],нет заявок,нет
Нужно привести страницы в порядок,[],5 заявок,Здравствуйте
Написание статей по криптовалютной тематике,[],2 заявки,Требуется
WEB developer with Shopify experience,[],1 заявка,Требуется
Разработчик Yii 2,[],12 заявок,Для
Исполняемый файл - преобразование одного файла xslx в другой,[],5 заявок,Необходимо
Разработка клиентского приложения такси,[],5 заявок,Добрый
Разработка логотипа и фирм. стиля + полиграфические материалы,[],22 заявки,Добрый
Создать одностраничный ленд,[],24 заявки,Требуется
Поздравление с днём рождения,[],7 заявок,Добрый
Система учета финансов,[],10 заявок,Нужно
Викторина,[],10 заявок,Добрый
Private Cheat CS:GO,[],нет заявок,нет
Смонтажировать видео и добавить звук с диктором.,[],7 заявок,Нужно
Редактирование и создание баннеров 300х250 под адалт (для взрослых),[],17 заявок,Создание
"Нарисовать дракона, пейзаж и несколько мелких деталей.",[],13 заявок,Необходимо
Фильтровать пользователей по FingerPrints,[],2 заявки,Здравствуйте.
Нужен аудит и техническая оптимизация [SEO],[],16 заявок,Нужен
Создание инфографики,[],13 заявок,Здравствуйте!
Сделать скрипт редиректа,[],11 заявок,Здравствуйте.
Сверстать сайт на 1C Bitrix,[],2 заявки,Имеется
Скрипт сбора позиций сайта,[],2 заявки,Нужен
Нужен дизайн баннера на окна,[],22 заявки,Нужно
Нарисовать мобильную версию в Sketch,[],7 заявок,"Здравствуйте,"
Создание и редактирование адалтных (для взрослых) баннеров jpg и gif,[],1 заявка,Необходимо
Нужен красивый лендинг по востановлению данных,[],18 заявок,Нужен
Ведение Twitter аккаунта,[],4 заявки,Поиск
Поработать в фотошопе над фото,[],23 заявки,На
Разработка веб портала по типу новостного сайта,[],10 заявок,Требуется
ReactJS разработчик на клиентское приложение,[],нет заявок,нет
Модернизация сайта для перспективной инновационной компании,[],15 заявок,Требуется
Нужен верстка дизайна,[],7 заявок,Нужен
Верстка нескольких страниц,[],29 заявок,"Приветствую,"
AngularJS – Frontend разработчик на клиентское приложение,[],2 заявки,Необходимо
Заполнить Google- таблицу,[],3 заявки,Дополнить
Добавление объектов недвижимости в каталог на сайт,[],20 заявок,Добрый
Написание бизнес плана разведение норки.,[],5 заявок,Добрый
Администрирование интернет-магазина на Magento,[],7 заявок,Нужна
"Видеосьемка детского праздника в парке (Новосибирск, 1 сентября)",[],нет заявок,нет
Отзывы на флампе!,[],2 заявки,Нужно
Автоматическое размещение объявлений в авито,[],1 заявка,В
Доработать двиг и шаблон boxcode,[],2 заявки,По
Создание контента + ведение групп в социальных сетях,[],4 заявки,Уважаемые
Оптимизация сайта и склейка доменов,[],17 заявок,Здравствуйте.
Требуется создать короткую заставку для ютуб-канала о дизайне,[],12 заявок,В
Рерайт,[],14 заявок,100
Разработка ПО,[],6 заявок,Требуется
Раскрутить сайт с помощью контекстной рекламы,[],9 заявок,Нужно
Подключить эквайринг к сайту,[],6 заявок,Для
Сделать рекламное видео системы скинов,[],10 заявок,Нужно
Логотип для салона красоты,[],10 заявок,Необходимо
Продвижение сайта,[],7 заявок,Нужно
Логотип для кондитерской,[],32 заявки,Название
Нужны тексты (спецтехника). Общий объем - более 200 000 символов,[],16 заявок,Задача
Найти плакаты,[],3 заявки,Нужны
Спарсить в вк информацию о посетителях,[],5 заявок,Есть
Иллюстрация для печати на футболке,[],15 заявок,размер
Сделать картинку для печати на футболке,[],5 заявок,см.
"Тексты на тему для сайта, продающего экскурсии в Анталии",[],5 заявок,Необходимы
Sci-fi . CGI 3d. Разработка 3д анимации,[],1 заявка,"Здравствуйте,"
Сделать копию сайта,[],26 заявок,сделать
Задачки по Opencart,[],6 заявок,Добрый
Настройка лент WPGrabber + настройка компонента для RSS ленты.,[],1 заявка,На
Верстка с адаптивом,[],17 заявок,Укажите
Натянуть верстку на Joomla 2.5,[],1 заявка,Есть
Удалить товар на сайте,[],17 заявок,Есть
Разработать рекламный ролик под ключ,[],11 заявок,предлагайте
Группы психологической тематики - для привлечения заказов,[],нет заявок,нет
Программа для скачивания фото и описания из ВК в Эксель,[],4 заявки,Нужна
Описание к 50 фотографиям - постам вк/инстаграмм,[],12 заявок,Добрый
Оптимизация PageSpeed Insights,[],11 заявок,Здравствуйте!
"Разработка адаптивного шаблона по PSD макету, Bootstrap на 1С-Битрикс",[],1 заявка,Есть
Создание сайта на Drupal,[],7 заявок,"Здравствуйте,"
Сайт для Дома ребенка,[],22 заявки,Здравствуйте!
Скрипт,[],5 заявок,Требуется
Создание 2Д видеоролика (инструктаж по Охране труда),[],10 заявок,Создание
Озвучка видео презентации,[],18 заявок,Озвучка
"Нужна доработка сайта ""Домашние питомцы""",[],3 заявки,Нужно
Требуется разработать ТЗ чат бота тех поддержки,[],5 заявок,Требуется
Тестирование сайта,[],14 заявок,В
"Написать статьи по теме ""жидкие обои""",[],24 заявки,Нужно
Требуется создать 2 соц. кнопки для репостинга сайта в ОК и Facebook,[],3 заявки,Требуется
Реферальная система,[],5 заявок,Нужно
Новостной игровой портал,[],3 заявки,Необходимо
Дизайн поста,[],5 заявок,Нужно
Интеграция 1С и Битрикс24,[],2 заявки,Требуется
Настройка и ведение рекламы в Facebook и Google AdWords на Испанском,[],1 заявка,Необходимо
Yii2 интеграция интернет сайта,[],9 заявок,Требуется
Верстка и программирование интернет-магазина,[],36 заявок,Требуется
Сделать верстку страницы срочно,[],8 заявок,Нужно
Скрипт по накрутке видеопросмотров,[],3 заявки,Нужен
Отрисовка изображений в векторе по образцу (гильош и тпд),[],1 заявка,Необходимо
Настроить яндекс,[],4 заявки,сайт
Редизайн сайта игровой тематики.,[],37 заявок,Нужно
Обменник,[],4 заявки,Необходимо
Развернуть простейшие php-скрипты на VPS-ке,[],12 заявок,Развернуть
"Верстка, стили",[],18 заявок,Подправить
Нужна помощь в установке скрипта,[],4 заявки,Не
Разработка сайта интернет магазина с нуля,[],31 заявка,Дамы
Python программист доработка проекта,[],2 заявки,Нужен
Дизайн Landing Page для салона красоты,[],70 заявок,Добрый
"Нужен дизайнер, чтобы наполнить сайт фотоколлажами, оформить слайдер",[],11 заявок,Предпочтение
Необходимо сделать редизайн сайта,[],52 заявки,Доброго
Подправить стиль,[],17 заявок,Подправить
Требуются прокаченные аккаунты на форумах,[],2 заявки,Нужны
Работа с сервисом Ответы@Mail.Ru,[],11 заявок,Нужны
Сделать шапку покрасивее,[],15 заявок,Нужно
Внедрить recaptcha от Google на сайт,[],3 заявки,Подробное
Верстка лендинга!,[],29 заявок,Необходимо
Оптимизация сайта.,[],1 заявка,Оптимизация
Раскрутить Behanсe профайл (поднять статистику заходов),[],нет заявок,нет
Фронт + Бэк ERP,[],5 заявок,Нужен
Движок исправление,[],11 заявок,есть
"Верстка, привести в порядок тизеры",[],11 заявок,На
Создание модуля и страниц для джумла,[],2 заявки,"Здравствуйте,"
Исправление цен и артикулов,[],7 заявок,Нужно
Интегрировать html/css шаблон на Bitrix. Управление сайтом,[],2 заявки,"Здравствуйте,"
Разработать форму для размещения заявок. (1С-Битрикс) только опытным!,[],2 заявки,Требуется
Протестировать сервис на ошибки и удобство пользования,[],14 заявок,мы
Срочно! Расшифровка аудио и видеоматериала!,[],63 заявки,Уважаемые
Доработать плагин WordPress Social Networks Auto Poster,[],3 заявки,Нужно
Верстка,[],40 заявок,Нужно
Php программист,[],7 заявок,Требуется
Картинки для сайта в стиле игры minecraft.,[],12 заявок,"Приветствую,"
Найти почты,[],15 заявок,Дается
Google Adwords,[],24 заявки,Нужно
Полиморфный генератор мусора,[],нет заявок,нет
Корректировка верстки имейлов,[],2 заявки,Откорректировать
WordPress доработка меню в теме,[],6 заявок,Необходимо
Комментарии под фото в профиле инстаграм,[],8 заявок,Написать
Увеличить подписку в инстаграмме,[],5 заявок,Увеличить
2 небольших скрипта для Wordpress и ACF Pro,[],6 заявок,Требуется
Верстка Landing Page,[],37 заявок,Адаптивная/Кроссбраузерная
Выбор цвета в фильтре товаров OpenCart 2.3.0.2,[],4 заявки,"Здравствуйте,"
Бот/кликер для браузерной игры.,[],6 заявок,Здравствуйте
Создание сайта с интерактивными элементами,[],7 заявок,Интересует
Нужно обучающее видео по компиляции готового проекта на С#,[],1 заявка,Имеется
Шаблон битрикс,[],2 заявки,Уважаемые
Найти данные о человеке в интернете,[],8 заявок,Найти
"3 Сайта лендинги, продающие товары с алиэкспресс",[],15 заявок,Необходимы
Дизайн сетки кубка,[],7 заявок,Добрый
Положить интернет-магазин на cms.,[],23 заявки,Здравствуйте.
Нужен программист   delphi,[],9 заявок,Здравствуйте
Создать из 2Д картики – 3Д для 3Д печати,[],2 заявки,Создать
Интеграция API от PayAnyWay в Opencart v2.3,[],3 заявки,Такой
Телевизионная заставка для реалити-проекта в стиле поп-арт,[],8 заявок,Заставка
Необходимо создать сайт подобный сайту по ссылке,[],26 заявок,Приветствую!
Доработка веб плеера,[],1 заявка,Добавление
Написать 50 статей,[],8 заявок,Нужно
"На странице категории Virtuemart нет тега H1, не приходят комментарии",[],4 заявки,На
Интернет магазин детских товаров,[],29 заявок,Надо
Разработка бота,[],5 заявок,Нужно
Разработка сайта портфолио на wordpress (дизайн есть),[],23 заявки,Требуется
Перевод с рус на укр на тему психологии 50 страниц,[],12 заявок,Перевод
Задача по поиску информации в интернете (климатическая техника),[],1 заявка,Есть
"Нужен контент менеджер: найти картинки, написать текст на 200 символов",[],11 заявок,Здравствуйте!
Требуется парсер SBIS,[],2 заявки,Требуется
Создать одностраничник для продажи доступа к видео-контенту,[],8 заявок,Нужно
Защита сайта,[],4 заявки,Требуется
Сделать простое мобильное приложение для android,[],4 заявки,сделать
